NFILES,NSKIPPED,NCHECKED,NBLOOMMISSES,NBLOOMHITS,NFALSEPOSITIVE,NPOSITIVE,NRECORDS
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,64,2,0,2,2
4818,4752,66,60,6,1,5,6
4818,4752,66,65,1,0,1,1
4818,4752,66,19,47,0,47,141
4818,4752,66,62,4,0,4,4
4818,4752,66,65,1,0,1,2
4818,4752,66,40,26,0,26,42
4818,4752,66,65,1,0,1,1
4818,4752,66,57,9,0,9,9
4818,4752,66,64,2,0,2,2
4818,4752,66,64,2,0,2,2
4818,4752,66,64,2,1,1,1
4818,4752,66,53,13,0,13,18
4818,4752,66,65,1,0,1,1
4818,4752,66,57,9,0,9,11
4818,4752,66,64,2,1,1,1
4818,4752,66,57,9,0,9,14
4818,4752,66,55,11,0,11,17
4818,4752,66,64,2,0,2,2
4818,4752,66,56,10,0,10,14
4818,4752,66,58,8,0,8,10
4818,4752,66,62,4,0,4,5
4818,4752,66,64,2,0,2,6
4818,4752,66,64,2,0,2,2
4818,4752,66,64,2,0,2,2
4818,4752,66,52,14,0,14,24
4818,4752,66,61,5,0,5,5
4818,4752,66,53,13,0,13,23
4818,4752,66,65,1,0,1,2
4818,4752,66,56,10,0,10,13
4818,4752,66,59,7,0,7,8
4818,4752,66,65,1,0,1,1
4818,4752,66,19,47,0,47,94
4818,4752,66,63,3,0,3,4
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,56,10,0,10,21
4818,4752,66,63,3,0,3,3
4818,4752,66,59,7,0,7,9
4818,4752,66,15,51,0,51,103
4818,4752,66,29,37,0,37,63
4818,4752,66,63,3,0,3,3
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,28,38,0,38,58
4818,4752,66,58,8,0,8,9
4818,4752,66,64,2,0,2,2
4818,4752,66,66,0,0,0,0
4818,4752,66,65,1,0,1,1
4818,4752,66,66,0,0,0,0
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,54,12,0,12,14
4818,4752,66,59,7,0,7,7
4818,4752,66,62,4,0,4,7
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,35,31,0,31,36
4818,4752,66,65,1,0,1,1
4818,4752,66,50,16,0,16,36
4818,4752,66,49,17,0,17,22
4818,4752,66,66,0,0,0,0
4818,4752,66,64,2,0,2,4
4818,4752,66,63,3,0,3,3
4818,4752,66,61,5,0,5,6
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,51,15,0,15,18
4818,4752,66,57,9,0,9,10
4818,4752,66,64,2,0,2,2
4818,4752,66,61,5,0,5,7
4818,4752,66,63,3,0,3,3
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,61,5,0,5,7
4818,4752,66,66,0,0,0,0
4818,4752,66,64,2,0,2,2
4818,4752,66,64,2,0,2,2
4818,4752,66,55,11,0,11,15
4818,4752,66,64,2,0,2,2
4818,4752,66,16,50,0,50,130
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,56,10,0,10,22
4818,4752,66,58,8,1,7,8
4818,4752,66,49,17,0,17,25
4818,4752,66,62,4,0,4,4
4818,4752,66,59,7,0,7,7
4818,4752,66,65,1,0,1,1
4818,4752,66,58,8,0,8,11
4818,4752,66,17,49,0,49,97
4818,4752,66,53,13,0,13,110
4818,4752,66,63,3,0,3,4
4818,4752,66,64,2,1,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,2
4818,4752,66,50,16,0,16,17
4818,4752,66,65,1,0,1,1
4818,4752,66,63,3,0,3,3
4818,4752,66,8,58,0,58,211
4818,4752,66,65,1,0,1,1
4818,4752,66,64,2,0,2,2
4818,4752,66,46,20,0,20,26
4818,4752,66,56,10,0,10,19
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,2
4818,4752,66,65,1,0,1,1
4818,4752,66,64,2,0,2,2
4818,4752,66,54,12,0,12,15
4818,4752,66,57,9,0,9,13
4818,4752,66,57,9,0,9,11
4818,4752,66,65,1,0,1,1
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,55,11,0,11,15
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,63,3,0,3,3
4818,4752,66,66,0,0,0,0
4818,4752,66,66,0,0,0,0
4818,4752,66,63,3,0,3,8
4818,4752,66,65,1,0,1,1
4818,4752,66,59,7,0,7,13
4818,4752,66,51,15,1,14,16
4818,4752,66,62,4,0,4,8
4818,4752,66,55,11,0,11,54
4818,4752,66,63,3,1,2,5
4818,4752,66,58,8,0,8,8
4818,4752,66,62,4,0,4,4
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,66,0,0,0,0
4818,4752,66,66,0,0,0,0
4818,4752,66,15,51,0,51,135
4818,4752,66,51,15,0,15,20
4818,4752,66,65,1,0,1,1
4818,4752,66,66,0,0,0,0
4818,4752,66,64,2,0,2,2
4818,4752,66,38,28,0,28,49
4822,4818,4,1,3,0,3,11
4824,4822,2,0,2,0,2,9
4829,4824,5,2,3,0,3,7
4830,4829,1,1,0,0,0,0
4831,4830,1,0,1,0,1,5
4832,4831,1,0,1,0,1,2
4835,4832,3,1,2,0,2,6
4842,4818,24,21,3,0,3,6
4842,4808,34,33,1,0,1,12
4842,0,4842,4730,112,26,92,127
4842,4808,34,25,9,1,9,17
4842,4647,195,195,0,0,0,0
4842,4808,34,34,0,0,0,0
4842,0,4842,4676,166,4,162,310
4842,0,4842,4676,166,4,162,310
292,0,292,289,3,0,3,3
4842,0,4842,4836,6,3,3,3
4842,0,4842,0,4842,4680,162,310
41,0,41,0,41,41,0,0
1,0,1,0,1,0,0,0
232,0,232,0,232,232,0,0
31,0,31,0,31,30,0,0
292,0,292,0,292,292,0,0
1,0,1,0,1,0,0,0
928,292,636,0,636,636,0,0
1237,928,309,0,309,309,0,0
3051,3050,1,0,1,0,1,5
26,0,26,0,26,25,0,0
4842,1237,3605,0,3605,3516,89,240
4842,3051,1791,0,1791,1651,140,225
4842,25,4817,0,4817,4788,29,36
4842,2320,2522,0,2522,2443,79,268
4842,3132,1710,0,1710,1648,62,147
4842,0,4842,4753,89,0,89,240
4842,3050,1792,1650,142,1,141,230
4842,0,4842,4807,35,6,29,36
4842,2320,2522,2440,82,3,79,268
4842,3132,1710,1648,62,0,62,147
4842,0,4842,4676,166,4,162,310
2503,0,2503,2484,19,1,18,252
4842,0,4842,4676,166,4,162,310
4842,4818,24,24,0,0,0,0
4842,4835,7,1,6,0,6,17
4842,4818,24,16,8,0,8,10
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,21,3,0,3,4
4842,4818,24,5,19,0,19,47
4842,4818,24,23,1,0,1,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,15,9,0,9,27
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,23,1,0,1,3
4842,4818,24,22,2,0,2,3
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,7
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,20,4,0,4,16
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,22
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,1,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,3
4842,4818,24,20,4,0,4,4
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,2
4842,4818,24,21,3,0,3,13
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,1,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,21,3,1,2,14
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,19,5,0,5,16
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,21,3,0,3,39
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,19,5,0,5,6
4842,4818,24,4,20,0,20,183
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,1,0,0
4842,4818,24,20,4,0,4,6
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,0,24,0,24,525
4842,4818,24,15,9,0,9,13
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,4
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,3
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,21,3,0,3,13
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,3
4842,4818,24,21,3,0,3,4
